Plant_Name,Nutrient_Requirement (mg/L),Hormone_Requirement (mg/L),Temperature (°C),pH_Level,Light_Intensity (lux),Contamination_Sensitivity,Recommended_Media
Tomato,135.51,0.69,24.23,7.48,1280.17,High,Nitsch
Tulip,88.96,0.77,25.46,6.76,1718.98,Low,B5
Wheat,47.78,0.33,24.17,5.2,1010.37,Low,Nitsch
Orchid,121.28,2.59,15.76,7.22,3055.23,Medium,Nitsch
Rose,231.54,3.69,19.92,5.39,4963.68,Medium,Gamborg
Tulip,87.44,0.33,15.58,5.76,2074.16,Low,Murashige & Skoog
Mango,79.3,0.29,24.34,5.21,1103.36,Medium,Gamborg
Wheat,22.45,0.22,29.54,6.79,1082.14,High,Gamborg
Tulip,17.06,0.12,29.44,7.09,2391.95,Low,Murashige & Skoog
Tulip,92.37,0.5,18.6,5.23,1365.73,Low,White
Orchid,386.46,3.95,23.32,6.53,3839.2,Medium,Murashige & Skoog
Tomato,163.68,0.53,16.74,5.12,1081.46,Medium,Nitsch
Bamboo,76.3,0.53,26.45,7.02,1692.61,Medium,White
Wheat,14.33,0.95,28.3,5.65,1030.61,High,B5
Orchid,261.81,3.74,24.24,7.36,4888.5,High,Gamborg
Bamboo,136.32,1.28,24.65,6.15,2091.23,Low,Nitsch
Tomato,173.06,1.8,18.1,5.68,1429.18,Medium,Nitsch
Rose,111.69,3.47,20.05,6.64,3770.79,Medium,Nitsch
Tulip,40.66,0.33,22.44,6.73,1696.67,High,White
Mango,76.16,0.82,19.23,5.44,2501.23,High,Murashige & Skoog
Tomato,111.89,1.24,26.65,5.85,2861.51,Low,Nitsch
Orchid,303.95,3.96,18.57,5.94,4068.65,Low,Murashige & Skoog
Fern,36.79,0.19,15.8,7.4,2694.29,Low,Nitsch
Bamboo,136.02,1.76,21.73,5.73,1657.33,High,Nitsch
Cactus,162.86,2.08,26.84,5.23,1988.84,High,B5
Cactus,160.56,1.59,25.59,7.42,2376.06,Medium,Nitsch
Orchid,130.34,1.34,25.51,5.18,4643.72,Medium,B5
Cactus,127.0,0.97,23.72,7.16,2760.72,Low,Nitsch
Wheat,98.74,0.78,20.64,5.21,2554.29,Medium,Gamborg
Tulip,91.57,0.2,22.39,5.03,1937.32,Medium,Nitsch
Mango,20.58,0.68,26.19,6.46,2924.35,High,Nitsch
Orchid,124.87,3.11,21.55,7.01,4955.8,Low,Nitsch
Cactus,56.51,2.35,28.79,5.63,2390.82,Low,B5
Apple,29.51,0.37,29.94,6.74,1768.4,High,Murashige & Skoog
Tulip,95.54,0.9,21.83,6.55,1554.76,Medium,B5
Rose,179.78,2.44,18.9,6.13,3064.63,Low,Nitsch
Orchid,223.36,3.41,19.06,5.33,3152.4,Medium,Gamborg
Rose,224.99,3.32,28.79,5.21,4753.32,High,Gamborg
Cactus,53.96,1.25,27.16,7.47,1300.83,Low,B5
Apple,97.29,0.86,27.57,6.17,1829.64,Low,White
Wheat,87.83,0.83,30.0,7.49,2110.86,Low,White
Cactus,163.56,1.26,18.62,5.51,1502.88,Low,Nitsch
Bamboo,84.3,1.84,24.27,5.9,1227.12,Medium,B5
Rose,242.86,4.33,19.62,7.04,4935.95,Medium,Gamborg
Apple,63.1,0.53,21.31,6.96,2278.72,High,Gamborg
Wheat,22.27,0.11,20.26,6.47,1784.49,High,Gamborg
Rose,204.48,3.06,26.75,5.99,4244.17,High,Gamborg
Orchid,384.86,1.59,28.9,6.23,3516.49,Low,B5
Fern,54.34,0.4,24.5,5.6,1151.73,Low,Gamborg
Fern,72.79,0.26,25.45,6.03,2748.64,High,White
Rose,280.58,1.9,27.33,5.86,3695.24,Medium,Gamborg
Cactus,132.31,1.57,20.34,7.24,1257.5,Medium,Nitsch
Apple,18.31,0.53,25.32,6.28,1313.96,Low,Murashige & Skoog
Tulip,88.15,0.18,23.96,7.47,2073.18,Medium,B5
Wheat,57.81,0.75,15.94,5.37,1266.23,High,Gamborg
Rose,234.22,3.13,18.64,5.67,3754.57,Medium,Gamborg
Wheat,38.99,0.29,19.91,5.3,2781.05,Low,Nitsch
Tulip,81.03,0.55,16.3,6.34,2173.68,Low,Nitsch
Tomato,106.82,1.17,28.49,6.52,1488.71,High,White
Fern,64.52,0.31,16.53,5.38,1491.92,Medium,Gamborg
Mango,90.71,0.17,22.87,6.03,2964.76,High,B5
Bamboo,195.42,2.23,27.26,5.64,1341.78,High,Murashige & Skoog
Rose,267.03,3.29,19.2,6.92,3374.09,Medium,Gamborg
Bamboo,113.82,1.52,18.64,5.29,2221.24,Medium,Nitsch
Cactus,125.92,2.36,19.81,6.48,1738.46,Medium,Nitsch
Cactus,59.51,2.48,19.84,7.02,1509.28,Low,Murashige & Skoog
Orchid,135.01,2.89,24.09,6.99,3213.4,Low,Nitsch
Rose,137.29,3.92,29.08,5.45,3132.99,Medium,Nitsch
Mango,84.51,0.78,26.99,7.06,1372.81,High,Gamborg
Tulip,91.71,0.38,23.82,6.71,1903.9,Medium,Gamborg
Fern,58.58,0.49,23.66,5.89,1782.96,Medium,White
Mango,30.61,0.59,21.47,5.83,2461.1,Medium,Nitsch
Orchid,260.04,4.58,26.83,5.38,3623.44,Low,Gamborg
Wheat,22.88,0.28,25.71,6.23,2509.27,Medium,White
Bamboo,118.55,1.71,22.53,6.35,1972.71,Low,Nitsch
Rose,103.66,3.39,23.48,6.79,4198.06,High,Nitsch
Tulip,40.83,0.3,21.35,5.72,2229.9,Medium,White
Mango,55.53,0.65,15.27,7.18,2864.24,Low,White
Mango,68.62,0.79,20.62,5.17,1154.64,Medium,Murashige & Skoog
Fern,91.96,0.21,18.54,5.41,1372.64,High,Murashige & Skoog
Orchid,360.97,3.08,23.87,6.0,3109.52,Low,Murashige & Skoog
Tulip,82.26,0.1,20.0,6.0,2074.79,High,B5
Wheat,41.23,0.76,21.78,5.56,1904.88,High,Murashige & Skoog
Wheat,24.9,0.13,19.67,6.95,1555.17,Medium,Nitsch
Rose,299.06,1.71,29.42,5.37,3829.25,High,Gamborg
Mango,55.2,0.64,16.01,6.87,1419.81,High,White
Orchid,110.96,2.89,23.47,5.16,4551.06,High,Nitsch
Rose,257.32,2.76,21.01,6.4,3310.48,Low,Gamborg
Mango,87.56,0.95,20.6,5.68,2288.0,Low,Nitsch
Rose,360.1,2.63,23.28,5.63,3392.23,High,White
Mango,19.37,0.82,17.68,6.63,1476.37,Medium,Gamborg
Mango,75.0,0.87,27.45,5.99,2336.17,Low,B5
Wheat,66.99,0.76,27.72,5.31,2752.89,Low,Nitsch
Rose,367.8,4.27,20.13,5.65,3759.38,High,Murashige & Skoog
Wheat,34.13,0.66,21.14,6.38,1872.25,High,Nitsch
Tulip,78.72,0.23,28.03,6.22,2789.1,Low,B5
Tomato,126.87,1.98,25.48,6.01,1436.05,Medium,Gamborg
Bamboo,69.84,2.3,25.37,6.71,2645.17,Low,B5
Bamboo,124.71,0.63,21.08,6.24,2440.41,Low,Nitsch
Tulip,22.6,0.34,19.0,6.83,1501.46,Low,Murashige & Skoog
Cactus,76.31,2.33,21.28,5.96,2037.84,Medium,Nitsch
Fern,76.42,0.17,24.05,5.61,1778.59,High,Nitsch
Orchid,316.46,3.44,29.24,5.99,4908.17,Medium,Murashige & Skoog
Cactus,122.56,1.04,23.1,5.41,2683.06,Low,Nitsch
Rose,287.0,2.9,20.17,5.88,3825.59,Low,Gamborg
Mango,49.13,0.32,27.29,7.0,2389.39,Medium,B5
Tomato,97.19,2.11,29.43,6.98,2381.12,Low,Nitsch
Mango,78.26,0.68,26.39,6.81,2274.46,Low,B5
Apple,68.2,0.72,15.77,6.67,1088.33,High,Murashige & Skoog
Wheat,60.02,0.53,19.69,5.3,2462.05,High,B5
Wheat,81.58,0.77,15.82,6.14,2044.87,High,Murashige & Skoog
Mango,30.7,0.21,16.15,6.74,1679.75,High,Nitsch
Wheat,38.38,0.59,26.86,5.8,2251.78,Low,B5
Rose,107.32,4.48,15.32,7.19,4057.87,High,Nitsch
Wheat,10.85,0.15,16.33,5.09,1959.56,High,Murashige & Skoog
Tulip,18.25,0.4,22.84,6.83,1006.69,Low,B5
Bamboo,157.33,1.68,19.16,7.28,1090.2,High,Nitsch
Orchid,217.49,1.5,29.35,6.99,3517.97,Medium,Gamborg
Wheat,89.12,0.95,22.01,6.53,1334.07,High,Nitsch
Fern,64.7,0.56,18.46,5.44,1440.97,Low,B5
Tomato,173.93,2.1,24.45,5.54,2036.52,Medium,Nitsch
Orchid,152.17,2.58,26.37,6.74,3307.79,High,White
Mango,77.31,0.13,28.42,7.15,1914.86,High,Gamborg
Apple,13.99,0.87,15.53,5.82,2863.18,High,Gamborg
Rose,222.54,2.49,18.9,6.81,3991.75,Medium,Gamborg
Cactus,83.03,1.87,16.14,7.13,1990.29,Medium,White
Tomato,173.7,1.2,25.17,6.41,1534.06,Medium,Gamborg
Mango,32.08,0.24,17.41,5.84,1477.38,Low,B5
Bamboo,142.79,2.01,17.38,7.2,2743.69,High,Nitsch
Wheat,10.46,0.84,18.43,7.27,1002.24,Medium,White
Wheat,27.38,0.18,19.9,6.4,1231.69,Medium,Nitsch
Mango,83.68,0.22,19.25,5.05,1864.48,Medium,Nitsch
Cactus,65.38,2.37,25.32,5.17,1601.93,Low,Nitsch
Fern,73.77,0.53,15.87,5.19,2704.83,Medium,White
Bamboo,147.14,1.69,20.75,5.16,2643.03,High,Nitsch
Tomato,87.88,0.5,17.38,6.17,2888.61,High,White
Apple,24.73,0.82,25.41,5.55,1164.76,Medium,Nitsch
Fern,21.82,0.88,29.45,5.08,2462.54,High,White
Bamboo,109.64,1.05,29.76,6.02,2788.2,High,B5
Tomato,54.67,1.8,20.53,7.16,1946.42,Medium,Murashige & Skoog
Orchid,127.35,1.61,21.81,6.33,3035.72,Low,Nitsch
Cactus,186.78,2.44,17.78,6.16,1002.46,High,Nitsch
Orchid,282.19,1.99,23.38,5.56,3321.65,Medium,Gamborg
Fern,39.33,0.63,21.5,7.46,1299.16,Low,B5
Rose,243.98,3.4,19.37,6.74,4720.24,Medium,Gamborg
Apple,13.57,0.53,16.57,5.61,2973.33,High,Nitsch
Bamboo,101.9,2.05,29.12,5.18,2068.48,Low,White
Orchid,347.35,2.43,19.83,7.44,3401.72,Medium,B5
Rose,112.36,3.68,29.27,5.31,4792.44,Low,Murashige & Skoog
Wheat,65.16,0.37,29.03,7.37,2250.61,Medium,Gamborg
Wheat,69.47,0.6,23.96,6.96,1961.81,High,Murashige & Skoog
Tulip,49.47,0.75,23.9,6.63,1958.56,High,B5
Tomato,196.38,1.17,17.73,6.97,2317.42,High,Nitsch
Rose,106.26,3.61,19.98,6.36,3986.55,Medium,Nitsch
Tomato,152.03,0.64,15.46,5.64,1925.25,Medium,Nitsch
Cactus,159.08,1.99,21.38,5.86,1742.08,Medium,Nitsch
Orchid,254.2,3.35,15.44,5.99,4212.38,High,Gamborg
Rose,337.89,3.62,29.88,5.71,3718.3,High,Murashige & Skoog
Rose,289.47,3.93,16.97,6.79,4818.07,High,Gamborg
Tulip,31.38,0.97,17.71,7.14,1984.56,Medium,Nitsch
Mango,62.15,0.7,16.43,6.63,1624.3,Medium,Gamborg
Cactus,51.35,1.68,23.98,5.99,1474.06,High,Gamborg
Tulip,16.61,0.25,22.8,5.84,2657.77,Low,White
Bamboo,138.18,2.4,18.79,5.9,1758.72,High,Nitsch
Cactus,103.51,1.57,26.73,6.76,1892.74,High,Nitsch
Bamboo,90.46,0.61,22.97,7.34,1078.69,High,Gamborg
Fern,26.2,0.18,16.55,6.46,2376.42,Low,B5
Mango,71.74,0.12,19.85,7.43,2160.22,High,Gamborg
Rose,202.8,3.13,16.89,5.33,3287.08,Medium,Gamborg
Tulip,75.96,0.25,17.83,6.83,1312.33,Medium,White
Fern,32.98,0.7,29.68,5.94,1035.03,Medium,Murashige & Skoog
Tulip,88.2,0.61,15.46,7.33,2379.05,Low,Murashige & Skoog
Tomato,191.13,2.15,25.0,6.44,1697.15,Medium,B5
Fern,38.63,0.88,29.9,6.88,1180.96,High,Murashige & Skoog
Bamboo,147.58,2.03,28.89,6.1,2802.75,Low,Murashige & Skoog
Wheat,49.2,0.84,16.8,6.36,1011.52,High,Murashige & Skoog
Tulip,45.66,0.73,20.83,6.12,1475.09,Low,Gamborg
Fern,16.59,0.64,25.02,6.55,1926.99,High,White
Tulip,95.63,0.86,28.71,7.03,1217.84,Low,B5
Cactus,86.91,1.45,20.92,6.37,2493.75,High,Gamborg
Cactus,79.37,0.52,24.71,7.25,1486.96,High,Gamborg
Bamboo,190.17,1.2,16.52,6.21,1513.55,Medium,Nitsch
Tomato,137.14,0.68,25.76,6.0,2953.45,Medium,Murashige & Skoog
Wheat,71.3,0.26,22.88,6.77,1213.75,Medium,White
Tulip,92.6,0.48,16.31,7.04,1747.02,Low,B5
Wheat,67.42,0.56,23.9,6.98,2293.21,Medium,Murashige & Skoog
Tulip,91.0,0.42,18.55,6.95,1549.61,High,Nitsch
Wheat,70.08,0.19,24.36,6.13,2173.22,High,Murashige & Skoog
Tomato,180.39,1.45,23.03,5.45,1624.54,High,Nitsch
Wheat,59.2,0.31,20.86,6.49,1993.53,Medium,Gamborg
Wheat,72.56,0.46,21.42,6.79,2384.87,High,Nitsch
Tomato,140.48,1.17,28.58,6.93,1529.79,Low,Murashige & Skoog
Bamboo,78.78,1.15,18.4,5.89,1138.85,Low,Nitsch
Rose,300.88,1.28,24.6,5.68,4185.62,High,Nitsch
Tulip,39.97,0.7,29.91,6.65,2115.57,Medium,Nitsch
Mango,62.24,0.18,29.42,6.59,2509.68,High,B5
Apple,83.96,0.1,19.51,7.45,1949.77,Medium,White
Wheat,45.94,0.24,29.89,7.32,2079.91,Low,White
Bamboo,143.54,0.68,26.33,5.32,2652.14,Medium,Nitsch
Rose,118.93,1.47,18.41,5.85,3761.82,Medium,Nitsch
Apple,59.84,0.37,20.95,6.12,2201.19,High,Gamborg
Fern,54.73,0.99,27.77,5.52,2861.19,Medium,B5
Tomato,151.15,1.56,25.82,5.35,1423.96,Medium,Murashige & Skoog
Cactus,53.43,0.81,18.35,7.39,2146.08,Medium,Murashige & Skoog
Rose,139.76,4.45,28.84,6.22,4212.51,Medium,White
Bamboo,125.38,1.3,17.2,5.92,1136.34,Medium,Nitsch
Bamboo,70.27,2.43,23.24,7.41,1865.0,Low,Nitsch
Rose,183.33,4.41,15.0,5.04,4205.11,High,Nitsch
Tomato,107.97,1.63,17.88,5.53,1969.2,Medium,Nitsch
Mango,36.76,0.49,17.56,5.19,2565.39,Medium,Gamborg
Wheat,72.29,0.16,22.64,7.49,2627.94,High,Nitsch
Bamboo,76.06,1.81,27.72,6.81,2584.19,High,White
Tomato,105.16,1.33,27.41,6.83,2538.61,Medium,B5
Cactus,52.88,1.02,26.4,5.34,2070.62,Low,White
Cactus,175.15,1.76,17.98,5.16,1085.27,Low,Nitsch
Tomato,89.88,1.79,22.49,5.67,1298.48,Medium,Nitsch
Rose,197.4,3.95,22.14,5.94,3788.95,Medium,Nitsch
Tulip,80.65,0.9,29.33,6.97,1630.81,Low,B5
Orchid,352.26,1.15,28.53,6.15,4274.4,Medium,Gamborg
Fern,67.3,0.65,16.0,6.3,1300.34,Low,White
Mango,13.75,0.18,25.74,5.18,1142.51,Low,White
Bamboo,160.63,1.21,19.45,5.87,2549.31,High,Nitsch
Tomato,77.78,0.85,16.48,6.65,2528.75,Medium,Nitsch
Orchid,188.63,4.08,24.37,5.95,3411.37,Low,Nitsch
Bamboo,142.25,2.05,24.66,6.33,1083.9,Medium,Nitsch
Tulip,81.88,0.36,29.7,6.5,2164.85,High,Nitsch
Rose,138.43,2.35,28.92,5.56,3744.33,High,Nitsch
Tulip,65.16,0.95,18.61,5.3,1394.94,Medium,Murashige & Skoog
Mango,99.32,0.7,19.75,7.2,1516.86,High,B5
Cactus,163.26,1.42,27.63,6.82,2552.89,High,Gamborg
Apple,94.36,0.14,17.47,5.33,2451.96,High,B5
Tomato,72.6,1.18,21.2,6.9,2486.85,High,Gamborg
Wheat,72.0,0.89,24.54,6.9,1320.14,Medium,B5
Mango,32.2,0.75,29.88,5.25,1802.99,Medium,B5
Apple,59.96,0.76,24.24,5.47,1710.77,Low,Murashige & Skoog
Bamboo,128.62,2.2,27.6,7.08,1022.06,Low,B5
Cactus,105.19,1.15,17.23,5.76,2753.3,Low,Nitsch
Tulip,43.15,0.5,25.83,7.22,2186.09,Low,White
Fern,72.61,0.1,24.29,5.89,2588.39,Low,Nitsch
Tomato,59.73,1.66,23.42,6.4,2206.98,Medium,B5
Tomato,90.47,2.15,22.47,5.19,1117.1,Low,Nitsch
Tulip,73.69,0.81,22.76,6.1,1294.91,High,Murashige & Skoog
Wheat,31.23,0.43,15.94,7.0,2533.18,Low,Nitsch
Fern,67.83,0.48,24.54,6.96,1236.67,Medium,Nitsch
Wheat,61.47,0.63,17.77,5.91,1669.02,Low,Gamborg
Orchid,275.74,3.35,25.47,7.32,4565.16,High,Gamborg
Tulip,86.75,0.3,20.65,6.15,1961.81,Low,B5
Cactus,155.9,1.76,15.75,7.26,2818.78,Low,Nitsch
Bamboo,164.83,0.82,24.15,5.34,2502.75,Low,Nitsch
Bamboo,52.01,1.07,15.67,5.09,1551.44,High,Nitsch
Mango,97.74,0.43,21.43,7.11,1536.28,Low,White
Bamboo,55.04,0.63,28.6,5.35,2064.84,Low,Gamborg
Wheat,17.78,0.31,25.99,6.37,1255.98,High,White
Tulip,84.51,0.81,24.37,6.24,2959.1,Low,Gamborg
Wheat,27.83,0.61,21.96,7.43,2217.05,Low,White
Apple,11.98,0.75,21.27,5.22,2367.51,Low,Murashige & Skoog
Mango,20.33,0.87,25.84,5.17,2415.67,Low,B5
Fern,30.35,0.86,21.43,5.35,2328.38,Low,B5
Tulip,51.61,0.47,24.76,6.36,1124.55,Medium,Nitsch
Tulip,98.03,0.81,22.46,5.85,2744.27,Medium,Nitsch
Bamboo,127.91,0.91,28.17,7.2,2741.16,High,White
Apple,60.42,0.78,23.37,6.38,1188.3,High,Nitsch
Orchid,217.22,4.19,20.58,6.13,3794.76,High,Gamborg
Tomato,116.16,0.89,17.8,5.24,1713.34,Low,Nitsch
Bamboo,91.47,1.12,24.64,5.49,2793.92,Medium,B5
Bamboo,133.67,0.83,24.2,5.91,2794.37,High,Nitsch
Mango,55.63,0.64,15.5,5.91,2465.27,High,White
Bamboo,169.79,2.44,27.85,5.29,2479.46,High,Murashige & Skoog
Wheat,21.02,0.75,19.85,7.49,2959.56,High,Gamborg
Cactus,133.96,1.55,25.79,7.23,1158.81,Low,Gamborg
Apple,83.72,0.59,25.65,5.79,1942.34,High,Nitsch
Apple,42.2,0.54,27.42,5.84,1347.52,Low,Nitsch
Mango,17.85,0.75,21.3,7.26,2479.34,Medium,B5
Apple,49.2,0.62,26.07,7.02,2687.47,High,Gamborg
Orchid,137.88,3.7,19.88,6.72,3139.28,High,Nitsch
Fern,87.02,0.3,27.56,5.7,2285.76,Medium,Murashige & Skoog
Fern,42.43,0.16,26.45,6.02,2518.5,Low,Murashige & Skoog
Tomato,58.86,2.3,24.76,7.19,1000.38,High,Gamborg
Rose,234.12,2.84,27.97,6.37,3760.8,Medium,Gamborg
Bamboo,52.7,1.34,15.41,7.42,1254.91,Low,Gamborg
Tomato,173.91,1.9,27.59,7.45,2242.69,Low,Gamborg
Wheat,57.94,0.67,21.75,5.55,1240.49,Low,Murashige & Skoog
Orchid,240.63,2.21,23.98,5.74,3599.84,Medium,Gamborg
Apple,14.33,0.91,27.78,6.67,2186.44,Low,White
Orchid,185.59,2.72,19.02,6.97,4146.7,Low,Nitsch
Cactus,87.85,0.94,22.33,6.84,2050.48,Low,Nitsch
Tomato,174.39,2.26,23.58,6.29,1860.85,Medium,Nitsch
Apple,40.67,0.25,17.56,7.37,1890.49,Low,White
Tomato,85.62,1.52,16.56,5.96,1975.33,Medium,Nitsch
Rose,181.47,2.89,29.76,5.67,3813.94,Medium,Murashige & Skoog
Rose,208.56,2.89,15.68,5.35,3553.63,Low,Gamborg
Apple,39.82,0.53,17.94,6.53,1561.37,Low,White
Fern,86.87,0.14,27.5,7.11,1569.82,High,White
Cactus,135.81,1.53,19.4,7.33,1794.03,Low,Nitsch
Orchid,285.12,1.46,20.18,6.27,4748.45,Low,Gamborg
Tomato,117.59,2.36,17.48,5.97,2459.72,Low,Nitsch
Cactus,88.73,1.85,19.45,6.8,2908.07,Low,Murashige & Skoog
Wheat,74.58,0.85,15.61,7.18,1513.39,Medium,Murashige & Skoog
Bamboo,105.36,0.74,21.28,6.88,1142.02,Medium,Nitsch
Tomato,103.22,2.38,25.03,6.7,1723.84,High,White
Tulip,55.19,0.22,16.74,5.39,1343.7,Medium,Gamborg
Cactus,185.37,0.63,23.01,5.36,1023.41,Medium,Nitsch
Tomato,117.33,0.67,20.99,7.28,2616.05,High,Nitsch
Apple,75.63,0.69,27.68,6.73,1859.86,High,White
Wheat,58.83,0.88,23.85,5.57,1768.48,High,Nitsch
Apple,48.79,0.39,23.73,5.93,2202.15,Low,B5
Mango,24.91,0.68,15.67,6.9,2893.29,High,White
Tulip,68.12,0.67,20.11,5.18,1819.26,Low,Murashige & Skoog
Fern,86.24,0.58,27.63,6.45,2119.38,High,Nitsch
Orchid,142.17,2.94,15.41,6.26,4928.03,Medium,Nitsch
Fern,93.31,0.47,20.93,5.78,1294.12,Low,B5
Cactus,175.32,1.24,20.62,6.19,1888.26,Medium,Nitsch
Apple,98.56,0.36,29.42,5.97,1771.02,Medium,Nitsch
Cactus,73.12,1.61,23.13,6.9,2667.3,High,Gamborg
Tulip,84.41,0.74,17.66,6.27,2354.77,Low,Nitsch
Wheat,59.03,0.25,23.74,7.5,1301.04,Medium,Gamborg
Bamboo,110.27,2.49,28.2,6.56,2138.75,Medium,Gamborg
Cactus,159.62,0.8,27.79,6.78,2813.89,High,Gamborg
Cactus,139.87,1.21,21.88,5.09,2491.72,High,Nitsch
Cactus,169.13,1.05,28.16,7.36,1297.59,High,B5
Bamboo,179.53,1.68,20.63,5.71,1406.45,High,Nitsch
Apple,42.6,0.75,28.42,6.14,1886.91,High,Nitsch
Wheat,96.04,0.28,16.64,7.13,1878.3,Low,Murashige & Skoog
Mango,15.62,0.9,21.72,6.28,2253.19,High,B5
Fern,71.89,0.75,25.39,5.34,1598.79,Medium,Murashige & Skoog
Mango,75.97,0.58,26.9,7.48,1401.3,Medium,Murashige & Skoog
Mango,36.52,0.11,26.07,7.09,2480.95,Low,White
Mango,94.34,0.84,27.14,7.21,2400.07,High,Murashige & Skoog
Rose,123.29,2.63,21.11,5.17,3697.64,High,Nitsch
Rose,101.83,1.4,28.03,6.7,3225.86,Medium,B5
Fern,14.52,0.17,21.04,5.74,1464.77,High,Gamborg
Mango,36.33,0.24,18.99,5.06,2166.51,High,Murashige & Skoog
Orchid,292.14,4.92,24.05,5.89,4295.63,Medium,Gamborg
Orchid,315.94,4.47,21.81,7.05,4109.31,Medium,Murashige & Skoog
Rose,314.19,4.29,27.06,6.38,4040.34,Low,Murashige & Skoog
Wheat,74.86,0.46,17.38,7.2,2647.56,High,Gamborg
Apple,77.38,0.39,15.0,6.28,1093.7,Medium,Murashige & Skoog
Wheat,62.49,0.52,20.11,7.35,1165.43,High,Murashige & Skoog
Orchid,138.98,3.26,28.0,6.43,4814.4,High,White
Tomato,186.49,1.25,29.46,5.22,2374.04,Medium,White
Orchid,379.05,4.38,25.14,5.35,3508.46,High,Murashige & Skoog
Cactus,194.91,2.02,29.26,6.76,1596.1,Low,Nitsch
Tomato,145.15,2.5,16.57,6.25,1770.24,Low,Nitsch
Tomato,118.65,0.92,20.53,5.92,1104.71,Low,Nitsch
Rose,265.62,2.66,25.79,5.93,4739.53,Medium,Gamborg
Mango,68.29,0.82,26.31,5.09,1789.47,High,Nitsch
Rose,321.13,4.9,15.78,6.71,3936.31,Low,Murashige & Skoog
Bamboo,62.8,0.59,25.0,7.06,2564.03,Low,Nitsch
Cactus,153.21,0.98,28.67,7.1,2418.77,Medium,B5
Tomato,123.93,1.31,22.96,6.49,1019.85,High,Nitsch
Apple,96.71,0.57,25.16,5.78,2547.98,High,Murashige & Skoog
Mango,21.84,0.87,23.63,5.19,1765.16,Low,B5
Cactus,89.84,0.54,19.4,6.93,2035.92,Low,Nitsch
Cactus,146.97,2.45,27.71,5.06,2797.12,Low,Murashige & Skoog
Mango,51.22,0.46,19.54,5.16,1456.47,Medium,B5
Wheat,70.45,0.62,29.85,5.6,2061.47,Medium,Gamborg
Fern,42.91,0.3,17.94,5.35,2244.83,Medium,Gamborg
Tomato,72.04,2.12,24.54,5.97,2348.26,High,Murashige & Skoog
Orchid,384.22,2.35,25.87,6.35,3121.26,Medium,B5
Tulip,23.26,0.11,24.46,6.12,1268.55,Medium,Gamborg
Rose,172.57,3.0,25.19,5.19,3549.41,Medium,B5
Tulip,26.23,0.51,23.41,7.16,1962.67,Low,Gamborg
Orchid,141.1,4.98,22.91,5.98,4318.23,Low,Nitsch
Bamboo,192.71,2.49,25.68,7.45,2139.08,High,White
